ORDER NUMBER,CONSIGNMENT,,MASS,LENGTH,WIDTH,HEIGHT,
BA3141,DE110E2,,1.51,2.77,1.12,1.63,
BA3142,DE150GC,,1.881,3.38,1.17,1.85,
BA3140,DE88GC,,1.358,2.3,1.12,1.62,
BA3139,DE450GC,,3.788,4.77,1.63,2.36,
BA3138,DE450GC,,3.788,4.77,1.63,2.36,
BA3137,DE50GC,,0.877,2.33,0.96,1.5,
BA3136,DE50GC,,0.877,2.33,0.96,1.5,
BA3135,DE50GC,,0.877,2.33,0.96,1.5,
BA3134,DE33GC,,0.838,2,0.92,1.44,
BA3132,DE33GC,,0.838,2,0.92,1.44,
BA3133,DE33GC,,0.838,2,0.92,1.44,
BA3150,DE500EO,,5.111,4.93,1.66,2.32,LOAD 1 LINK FRONT
BA3148,DE450EO,,4.707,4.93,1.66,2.32,LOAD 1 LINK REAR
BA3149,DE500EO,,5.111,4.93,1.66,2.32,LOAD 2 LINK FRONT
BA3147,DE500GC,,3.808,4.77,1.63,2.36,LOAD 2 LINK REAR
BA3146,DE110GC,,1.196,2.8,1.05,1.68,
BA3145,DE220GC,,1.88,3.38,1.17,1.85,
BA3144,DE220GC,,1.88,3.38,1.17,1.85,
BA3143,DE110GC,,1.196,2.8,1.05,1.68,
